training time,work function 1,,,work function 2,,,work function 3,,
15,,,,,,,,,
30,0.584,,,0.288,,,0.209,,
45,0.156,,,0.165,,,0.307,,
60,0.279,0.3322,,0.186,,,0.479,0.253,0.425
75,0.419,0.601,0.275,0.293,0.521,0.402,0.407,0.278,0.455
90,0.285,0.446,0.379,0.453,0.288,0.367,0.476,0.29,0.597
105,0.434,0.343,0.274,0.482,0.198,0.346,0.414,0.521,0.533
120,0.371,0.179,0.436,0.444,0.451,0.316,0.302,0.457,0.521
135,0.488,0.505,0.088,0.364,0.27,0.53,0.306,0.458,0.607
150,0.554,0.578,0.188,0.458,0.103,0.375,0.298,0.01,0.392
165,0.517,0.456,0.341,0.566,0.263,0.196,0.476,0.481,0.702
180,0.388,0.469,0.351,0.369,0.254,0.263,0.567,0.541,0.537
195,0.389,0.526,0.266,0.512,0.338,0.247,0.311,0.1,0.682
210,0.324,0.61,0.382,0.6,0.366,0.578,0.569,0.366,0.507
225,0.337,0.129,0.569,0.307,0.523,0.38,0.362,0.429,0.54
240,0.609,0.102,0.381,0.628,0.455,0.447,0.464,0.321,0.564
255,0.497,0.687,0.175,0.548,0.552,0.529,0.492,0.284,0.174
270,0.297,0.692,0.38,0.488,0.374,0.539,0.575,0.491,0.516
285,0.619,0.297,0.423,0.601,0.294,0.384,0.68,0.456,0.552
300,0.309,0.627,0.659,0.266,0.559,0.573,0.455,0.444,0.515
