Training time,work function 1,,,work function 2,,,work function 3,,
15,,,,,,,,,
30,2.265,,,2.229,,,2.293,,
45,2.302,,,2.292,,,2.274,,
60,2.286,2.234,,2.29,,,2.265,2.283,2.26
75,2.261,2.235,2.245,2.276,2.171,2.23,2.266,2.262,2.166
90,2.227,2.2,2.242,2.236,2.221,2.206,2.245,2.261,2.007
105,2.219,2.263,2.29,2.247,2.288,2.278,2.278,2.26,2.198
120,2.255,2.27,2.199,0.226,2.19,2.281,2.202,2.245,2.103
135,2.248,2.106,2.307,2.23,2.246,2.21,2.277,2.257,2.098
150,2.242,2.235,2.287,2.25,2.289,2.218,2.264,2.3,2.116
165,2.233,2.246,2.249,2.19,2.225,2.259,2.163,2.177,2.055
180,2.243,2.239,2.241,2.229,2.272,2.292,2.203,2.253,2.21
195,2.165,2.181,2.212,2.227,2.261,2.256,2.223,2.302,2.147
210,2.216,2.123,2.244,2.222,2.289,2.084,2.014,2.267,2.187
225,0.272,2.287,2.145,2.213,2.145,2.224,2.191,2.149,2.196
240,2.188,2.306,2.263,2.192,2.234,2.21,2.095,2.193,2.064
255,2.214,2.048,2.278,2.154,2.011,2.174,2.088,2.197,2.288
270,2.215,2.136,2.25,2.105,2.243,2.206,2.11,2.118,2.13
285,2.206,2.266,2.251,2.074,2.232,2.183,2.101,2.199,2.166
300,2.267,2.151,2.174,2.221,2.118,2.086,2.08,2.176,2.113
